event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,ablation_mode
cc8c0bf5_track2_detector_intervention_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,1.1843461177631014,0.7982568946516652,same_id,0.0,detector_intervention,appearance_only
cc8c0bf5_track2_detector_intervention_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,1.1843461177631014,0.7982568946516652,same_id,0.0,detector_intervention,dual
cc8c0bf5_track2_detector_intervention_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,2.6393156943046643,0.77511107364876,same_id,0.0,detector_intervention,motion_only
cc8c0bf5_track2_detector_intervention_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,2.6393156943046643,0.77511107364876,same_id,0.0,detector_intervention,appearance_only
cc8c0bf5_track2_detector_intervention_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,2.6393156943046643,0.77511107364876,same_id,0.0,detector_intervention,dual
cc8c0bf5_track2_detector_intervention_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,0.9486146196833554,0.8515593136097312,same_id,0.0,detector_intervention,motion_only
cc8c0bf5_track2_detector_intervention_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,0.9486146196833554,0.8515593136097312,same_id,0.0,detector_intervention,appearance_only
cc8c0bf5_track2_detector_intervention_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,0.9486146196833554,0.8515593136097312,same_id,0.0,detector_intervention,dual
cc8c0bf5_track2_detector_intervention_d5_c1.0,oatm_motion_only,True,5,5,1.0,True,5,2.318341438489071,0.806962409002411,same_id,0.0,detector_intervention,motion_only
cc8c0bf5_track2_detector_intervention_d5_c1.0,oatm_appearance_only,True,5,5,1.0,True,5,2.318341438489071,0.806962409002411,same_id,0.0,detector_intervention,appearance_only
cc8c0bf5_track2_detector_intervention_d5_c1.0,oatm_dual,True,5,5,1.0,True,5,2.318341438489071,0.806962409002411,same_id,0.0,detector_intervention,dual
c5224b9b_track18_detector_intervention_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,1.8703311315702056,0.8898937174361365,same_id,0.0,detector_intervention,motion_only
c5224b9b_track18_detector_intervention_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,1.8703311315702056,0.8898937174361365,same_id,0.0,detector_intervention,appearance_only
c5224b9b_track18_detector_intervention_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,1.8703311315702056,0.8898937174361365,same_id,0.0,detector_intervention,dual
c5224b9b_track18_detector_intervention_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,detector_intervention,motion_only
c5224b9b_track18_detector_intervention_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,detector_intervention,appearance_only
c5224b9b_track18_detector_intervention_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,detector_intervention,dual
c5224b9b_track18_detector_intervention_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,2.3829530581201963,0.868115846358468,same_id,0.0,detector_intervention,motion_only
c5224b9b_track18_detector_intervention_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,2.3829530581201963,0.868115846358468,same_id,0.0,detector_intervention,appearance_only
c5224b9b_track18_detector_intervention_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,2.3829530581201963,0.868115846358468,same_id,0.0,detector_intervention,dual
c5224b9b_track18_detector_intervention_d5_c1.0,oatm_motion_only,True,5,5,1.0,True,5,3.0421693908460616,0.8428625182001415,same_id,0.0,detector_intervention,motion_only
c5224b9b_track18_detector_intervention_d5_c1.0,oatm_appearance_only,True,5,5,1.0,True,5,3.0421693908460616,0.8428625182001415,same_id,0.0,detector_intervention,appearance_only
c5224b9b_track18_detector_intervention_d5_c1.0,oatm_dual,True,5,5,1.0,True,5,3.0421693908460616,0.8428625182001415,same_id,0.0,detector_intervention,dual
6f83169d_track21_detector_intervention_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,2.6456001291906652,0.8874511060040859,same_id,0.0,detector_intervention,motion_only
6f83169d_track21_detector_intervention_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,2.6456001291906652,0.8874511060040859,same_id,0.0,detector_intervention,appearance_only
