clip,track_id,gap_length,frame_offset_in_gap,variant,center_error_px,iou
clip_sample_001,1,1,0,static_memory,1.6296219742943499,0.969348558149457
clip_sample_001,1,1,0,sort_with_motion,5.615873516788438,0.9006039745801507
clip_sample_001,1,1,0,sort_zero_velocity,2.3292265690312033,0.955495879303824
clip_sample_001,1,2,0,static_memory,1.6296219742943499,0.969348558149457
clip_sample_001,1,2,0,sort_with_motion,5.615873516788438,0.9006039745801507
clip_sample_001,1,2,0,sort_zero_velocity,2.3292265690312033,0.955495879303824
clip_sample_001,1,2,1,static_memory,3.155851887455472,0.912576995384398
clip_sample_001,1,2,1,sort_with_motion,6.792239878838545,0.886820807006768
clip_sample_001,1,2,1,sort_zero_velocity,2.988956045302544,0.918369412349563
clip_sample_001,1,3,0,static_memory,0.5080293101501181,0.9887055237559833
clip_sample_001,1,3,0,sort_with_motion,3.1955716213983396,0.9419331791829291
clip_sample_001,1,3,0,sort_zero_velocity,0.9926505432460674,0.9803670123929351
clip_sample_001,1,3,1,static_memory,1.1318344367342175,0.971556992070582
clip_sample_001,1,3,1,sort_with_motion,9.00977380647564,0.8478212837836961
clip_sample_001,1,3,1,sort_zero_velocity,0.6391089124291842,0.9791408150262878
clip_sample_001,1,3,2,static_memory,3.45252470723237,0.908019119040875
clip_sample_001,1,3,2,sort_with_motion,10.849811837162493,0.8294669479928424
clip_sample_001,1,3,2,sort_zero_velocity,3.6847082604295136,0.9144873054522071
clip_sample_001,1,5,0,static_memory,5.901737714850711,0.8974773912507069
clip_sample_001,1,5,0,sort_with_motion,3.2227436958935725,0.9449229660146489
clip_sample_001,1,5,0,sort_zero_velocity,6.009076806589943,0.8955943983455819
clip_sample_001,1,5,1,static_memory,6.399437291354979,0.8878739861684937
clip_sample_001,1,5,1,sort_with_motion,0.9460240307420059,0.9762600197469233
clip_sample_001,1,5,1,sort_zero_velocity,6.506813771907545,0.8860138885510914
clip_sample_001,1,5,2,static_memory,4.7705955949307866,0.9150775259950493
clip_sample_001,1,5,2,sort_with_motion,3.5154731312673366,0.931558126636273
clip_sample_001,1,5,2,sort_zero_velocity,4.877955207443537,0.9131585082380858
