clip,track_id,class_name,gap_length,frame_offset_in_gap,frame_number,method,has_box,center_error_px,center_error_pct_width,iou,iou_at_least_030,track_id_before_gap,track_id_after_gap,id_continuous,prediction_time_ms
clip_sample_001,1,car,8,4,8,static_memory,True,11.175469114044429,0.6984668196277768,0.7792426873137537,True,1,1,True,0.0295
clip_sample_001,1,car,8,4,8,sort_motion,True,4.59324959216544,0.28707809951034,0.8927805877306009,True,1,1,True,0.0295
clip_sample_001,1,car,8,5,9,yolo_only,False,,,0.0,False,1,1,True,0.0295
clip_sample_001,1,car,8,5,9,static_memory,True,14.91132627276573,0.9319578920478583,0.7255810245706754,True,1,1,True,0.0295
clip_sample_001,1,car,8,5,9,sort_motion,True,6.755321303436547,0.4222075814647842,0.8531847752805934,True,1,1,True,0.0295
clip_sample_001,1,car,8,6,10,yolo_only,False,,,0.0,False,1,1,True,0.0295
clip_sample_001,1,car,8,6,10,static_memory,True,13.864512191481001,0.8665320119675626,0.7462981533539779,True,1,1,True,0.0295
clip_sample_001,1,car,8,6,10,sort_motion,True,4.224846288086994,0.2640528930054371,0.9018345184215645,True,1,1,True,0.0295
clip_sample_001,1,car,8,7,11,yolo_only,False,,,0.0,False,1,1,True,0.0295
clip_sample_001,1,car,8,7,11,static_memory,True,14.503382888006348,0.9064614305003967,0.7377653553512297,True,1,1,True,0.0295
clip_sample_001,1,car,8,7,11,sort_motion,True,3.3961305819840173,0.21225816137400108,0.8510834641980097,True,1,1,True,0.0295
clip_sample_001,1,car,10,0,2,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,0,2,static_memory,True,1.4008061821860824,0.08755038638663015,0.9721149170285072,True,1,1,True,0.0208
clip_sample_001,1,car,10,0,2,sort_motion,True,1.4008061821860824,0.08755038638663015,0.9721149170285072,True,1,1,True,0.0208
clip_sample_001,1,car,10,1,3,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,1,3,static_memory,True,4.6233269605779,0.2889579350361188,0.9130237826596089,True,1,1,True,0.0208
clip_sample_001,1,car,10,1,3,sort_motion,True,4.6233269605779,0.2889579350361188,0.9130237826596089,True,1,1,True,0.0208
clip_sample_001,1,car,10,2,4,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,2,4,static_memory,True,10.520577113937717,0.6575360696211073,0.8207750217638806,True,1,1,True,0.0208
clip_sample_001,1,car,10,2,4,sort_motion,True,10.520577113937717,0.6575360696211073,0.8207750217638806,True,1,1,True,0.0208
clip_sample_001,1,car,10,3,5,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,3,5,static_memory,True,11.020368018732558,0.6887730011707849,0.8120343708911751,True,1,1,True,0.0208
clip_sample_001,1,car,10,3,5,sort_motion,True,11.020368018732558,0.6887730011707849,0.8120343708911751,True,1,1,True,0.0208
clip_sample_001,1,car,10,4,6,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,4,6,static_memory,True,9.390823413447174,0.5869264633404484,0.8363263238823125,True,1,1,True,0.0208
clip_sample_001,1,car,10,4,6,sort_motion,True,9.390823413447174,0.5869264633404484,0.8363263238823125,True,1,1,True,0.0208
clip_sample_001,1,car,10,5,8,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,5,8,static_memory,True,12.547376694447575,0.7842110434029735,0.7582361774109688,True,1,1,True,0.0208
clip_sample_001,1,car,10,5,8,sort_motion,True,12.547376694447575,0.7842110434029735,0.7582361774109688,True,1,1,True,0.0208
clip_sample_001,1,car,10,6,9,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,6,9,static_memory,True,16.295925808622588,1.0184953630389117,0.7060926493708154,True,1,1,True,0.0208
clip_sample_001,1,car,10,6,9,sort_motion,True,16.295925808622588,1.0184953630389117,0.7060926493708154,True,1,1,True,0.0208
clip_sample_001,1,car,10,7,10,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,7,10,static_memory,True,15.259328932087975,0.9537080582554985,0.7259677576091492,True,1,1,True,0.0208
clip_sample_001,1,car,10,7,10,sort_motion,True,15.259328932087975,0.9537080582554985,0.7259677576091492,True,1,1,True,0.0208
clip_sample_001,1,car,10,8,11,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,8,11,static_memory,True,15.90192945736362,0.9938705910852262,0.7174367799031126,True,1,1,True,0.0208
clip_sample_001,1,car,10,8,11,sort_motion,True,15.90192945736362,0.9938705910852262,0.7174367799031126,True,1,1,True,0.0208
clip_sample_001,1,car,10,9,12,yolo_only,False,,,0.0,False,1,1,True,0.0208
clip_sample_001,1,car,10,9,12,static_memory,True,12.939225032151164,0.8087015645094477,0.6423368537851952,True,1,1,True,0.0208
clip_sample_001,1,car,10,9,12,sort_motion,True,12.939225032151164,0.8087015645094477,0.6423368537851952,True,1,1,True,0.0208
clip_sample_001,3,car,1,0,12,yolo_only,False,,,0.0,False,3,3,True,0.6044
clip_sample_001,3,car,1,0,12,static_memory,True,0.19502668115285035,0.012189167572053147,0.9824111975956429,True,3,3,True,0.6044
clip_sample_001,3,car,1,0,12,sort_motion,True,0.6006950925711706,0.03754344328569816,0.9588589996141116,True,3,3,True,0.6044
clip_sample_001,3,car,2,0,11,yolo_only,False,,,0.0,False,3,3,True,0.2879
clip_sample_001,3,car,2,0,11,static_memory,True,0.6266190353702705,0.03916368971064191,0.9645205923128769,True,3,3,True,0.2879
clip_sample_001,3,car,2,0,11,sort_motion,True,0.6107262863754822,0.03817039289846764,0.9575045850965599,True,3,3,True,0.2879
clip_sample_001,3,car,2,1,12,yolo_only,False,,,0.0,False,3,3,True,0.2879
clip_sample_001,3,car,2,1,12,static_memory,True,0.7743959122872812,0.048399744517955076,0.9482825333806334,True,3,3,True,0.2879
clip_sample_001,3,car,2,1,12,sort_motion,True,0.6236779658105611,0.03897987286316007,0.949538401256236,True,3,3,True,0.2879
clip_sample_001,3,car,3,0,11,yolo_only,False,,,0.0,False,3,3,True,0.3252
clip_sample_001,3,car,3,0,11,static_memory,True,0.6266190353702705,0.03916368971064191,0.9645205923128769,True,3,3,True,0.3252
clip_sample_001,3,car,3,0,11,sort_motion,True,0.6107262863754822,0.03817039289846764,0.9575045850965599,True,3,3,True,0.3252
clip_sample_001,3,car,3,1,12,yolo_only,False,,,0.0,False,3,3,True,0.3252
clip_sample_001,3,car,3,1,12,static_memory,True,0.7743959122872812,0.048399744517955076,0.9482825333806334,True,3,3,True,0.3252
clip_sample_001,3,car,3,1,12,sort_motion,True,0.6236779658105611,0.03897987286316007,0.949538401256236,True,3,3,True,0.3252
clip_sample_001,3,car,3,2,13,yolo_only,False,,,0.0,False,3,3,True,0.3252
clip_sample_001,3,car,3,2,13,static_memory,True,1.961790880661366,0.12261193004133539,0.8745364546669635,True,3,3,True,0.3252
