method,linked_events,mean_hidden_coverage,fully_bridged_rate,same_id_recoveries,new_id_recoveries,not_recovered,mean_center_error_px,runtime_seconds
bytetrack_b12,2,0.76,0.5,1,1,0,20.671953163689935,1.3801533514633775
bytetrack_b5,2,0.245,0.0,0,2,0,10.271551565171876,1.1369107756763697
relational_camera,2,1.0,1.0,0,2,0,294.4943932124663,376.13190170377493
relational_complete,2,1.0,1.0,0,2,0,307.1257056847668,23.40957148745656
selective_oatm,2,0.43,0.0,0,2,0,15.857820747974042,1.0642019668594003
